Strain,Total,Training,Validation,Test
TA100,6380 (1:3),4468 (1:3),"1276 (1:3, 87%)","636 (1:4, 78%)"
TA100+S9,5842 (1:3),4072 (1:2),"1168 (1:3, 85%)","602 (1:4, 79%)"
TA102,1107 (1:5),760 (1:5),"221 (1:5, 77%)","126 (1:4, 67%)"
TA102+S9,966 (1:8),671 (1:8),"194 (1:8, 75%)","101 (1:9, 56%)"
TA104,410 (1:3),299 (1:3),"82 (1:3, 85%)","29 (1:2, 66%)"
TA104+S9,330 (1:3),244 (1:3),"66 (1:3, 82%)","20 (1:4, 80%)"
TA1535,3957 (1:9),2778 (1:9),"791 (1:9, 82%)","388 (1:12, 74%)"
TA1535+S9,3676 (1:9),2577 (1:8),"736 (1:9, 82%)","363 (1:17, 74%)"
TA1537,3523 (1:11),2458 (1:10),"705 (1:11, 83%)","360 (1:25, 71%)"
TA1537+S9,3404 (1:10),2374 (1:9),"681 (1:10, 82%)","349 (1:18, 72%)"
TA1538,2115 (1:9),1494 (1:8),"423 (1:9, 75%)","198 (1:32, 72%)"
TA1538+S9,1992 (1:7),1403 (1:7),"398 (1:7, 71%)","191 (1:12, 74%)"
TA97,1803 (1:10),1292 (1:10),"361 (1:10, 72%)","150 (1:8, 64%)"
TA97+S9,1724 (1:9),1235 (1:8),"345 (1:9, 70%)","144 (1:13, 61%)"
TA98,5980 (1:4),4175 (1:4),"1196 (1:4, 86%)","609 (1:5, 78%)"
TA98+S9,5530 (1:3),3852 (1:3),"1106 (1:3, 85%)","572 (1:4, 80%)"
